iteration,lhs_component_vulnerability_weight,lhs_component_flood_weight,lhs_component_failure_probability_weight,lhs_component_historical_exposure_weight,lhs_component_actor_role_weight
0,0.32362440347010013,0.22268416025333518,0.2853992418261004,0.10786841193880833,0.060423782511655935
1,0.34685388429220343,0.2830585369376241,0.23268019340575344,0.08749726056381231,0.04991012480060671
2,0.31979651023747246,0.29013667414052824,0.23054818066338265,0.1143351906235487,0.04518344433506808
3,0.3441673931078131,0.26326649888657966,0.23741090706551132,0.11132601863407146,0.04382918230602444
4,0.38043824733745574,0.2571269087592089,0.20493220354032515,0.11132813279490912,0.046174507568101035
5,0.30427682869887535,0.2990725835325717,0.21547134196521564,0.12075524659446622,0.060423999208871274
6,0.31402244544074814,0.26002276142145825,0.2604308522952857,0.10690961094795441,0.05861432989455352
7,0.3837628063631121,0.26016746779732836,0.23061818546258797,0.08747583363242503,0.037975706744546533
8,0.320368877508654,0.2483340395439264,0.28560199128661207,0.1028233096056436,0.042871782055163836
9,0.3484154521548369,0.24280337738935354,0.22540275140361374,0.12742650377889503,0.05595191527330095
10,0.39713650127581446,0.22119482852634836,0.23148933739153504,0.10066576923190976,0.04951356357439232
11,0.3629368721377551,0.2892909838273283,0.21220126135771378,0.08738873527608634,0.04818214740111654
12,0.35164795991500775,0.2433520791127957,0.256028135692712,0.09534754737547944,0.05362427790400507
13,0.37801138548381047,0.22781529086826877,0.22596656111669705,0.10588887584244251,0.06231788668878121
14,0.3394986525395247,0.2924867641357247,0.235624422957935,0.08774637870239298,0.04464378166442249
15,0.33919934164833565,0.220314820984642,0.27873293671983973,0.11068087014870878,0.05107203049847378
16,0.38174906196423947,0.23178902909363247,0.2304077519452445,0.10528279811341215,0.05077135888347162
17,0.30420443733500485,0.2396583396665294,0.305579714891789,0.08934817866094402,0.06120932944573263
18,0.36117975813994274,0.21286534353523337,0.29082484847659656,0.08086574229932797,0.05426430754889922
19,0.33879522902890696,0.22626640274684495,0.29259547904965577,0.10089665503789534,0.04144623413669689
20,0.3967843984314694,0.19548254822816272,0.27222691652918196,0.09048556334387879,0.0450205734673072
21,0.3510791189682976,0.21701042925603184,0.2865459339346531,0.0883550378498121,0.05700947999120525
22,0.3776091815786561,0.23658631805173944,0.24167246439227347,0.09239341200926804,0.05173862396806295
23,0.33816958775951933,0.2544055830597116,0.23022329107186712,0.12322231486587616,0.053979223243025634
24,0.3241580501036979,0.24053060665945242,0.2570951126447851,0.12321577535686197,0.055000455235202715
25,0.33314421619843515,0.27722556703619544,0.22982917299438074,0.10384330148156183,0.05595774228942686
26,0.36700908620759437,0.2358416911727425,0.2655725723997656,0.08047674612117851,0.051099904098719076
27,0.29439673742633155,0.2976244036262017,0.22549768271134688,0.12122758385669323,0.06125359237942679
28,0.3139254233593786,0.25711928671159207,0.26058178802521514,0.1079202379963242,0.06045326390749003
29,0.3735866422420124,0.25392303181146253,0.2376700317515001,0.0911291853070584,0.043691108887966415
30,0.3386070475261789,0.2923444627655137,0.22806853508982985,0.08923262041714802,0.0517473342013296
31,0.4025842956233555,0.2634661636373756,0.20017557463554336,0.07847831813249803,0.05529564797122754
32,0.333924202886097,0.28038403394121164,0.24247919864249126,0.09336586094225419,0.04984670358794585
33,0.31907548553688764,0.2727028630942414,0.2322903270546598,0.11925056633983376,0.056680757974377376
34,0.39495017804384525,0.19670354494208805,0.2600069949441408,0.1054147485909311,0.04292453347899484
35,0.3614759499451141,0.2171180303013872,0.26126890452584245,0.11631769791514705,0.04381941731250917
36,0.3365258474938859,0.22685709379444224,0.2945356476516414,0.0817891867028396,0.060292224357190845
37,0.3067422893520244,0.3066263339406001,0.22815793940242768,0.10584659957367337,0.052626837731274426
38,0.3035078924622776,0.2678611391002246,0.2746466664625225,0.10632882696110812,0.047655475013867306
39,0.36992821905373924,0.25277684516681054,0.25033891174457007,0.08259736273054535,0.04435866130433475
40,0.3804570195200527,0.23448314400852488,0.24236902289181195,0.0952878553507544,0.047402958228856054
41,0.4149610476496538,0.22807307054328485,0.21199152066589302,0.09831643981222292,0.046657921328945355
42,0.3347760185238032,0.21977564734637653,0.26659353833758337,0.11549082594852181,0.06336396984371515
43,0.39347468485303266,0.26405332040943685,0.2022323429952209,0.08313214729493613,0.05710750444737347
44,0.28858235001636023,0.2787591898062997,0.2749182782179476,0.10777808766947633,0.04996209428991611
45,0.37335588132460046,0.24842220317561362,0.2280401010463219,0.10570276999563419,0.044479044457829846
46,0.3341869461654889,0.26014570027948886,0.25847747490025724,0.10661427484597856,0.04057560380878626
47,0.3506341651336851,0.23316448142892215,0.25983751142672157,0.10860721937875314,0.047756622631917954
48,0.341271390923968,0.2583299922714146,0.24867365156962826,0.09093041809895144,0.06079454713603768
49,0.3399606507051645,0.2501521111816007,0.2663561905878069,0.10268363384799223,0.04084741367743571
50,0.30995143535975556,0.2607739262130261,0.27442544558752846,0.09981179396479178,0.05503739887489805
51,0.33855673799169594,0.23617700082845214,0.2663769681573726,0.1112106109009753,0.04767868212150407
52,0.3039714940284979,0.29402223451259435,0.252237986948164,0.09743671976368545,0.052331564747058336
53,0.30783024017381566,0.26805392454635113,0.25456898199511596,0.12427137466009885,0.045275478624618316
54,0.33683890064122424,0.24538319319757312,0.2749782086116951,0.0983372866446635,0.04446241090484404
55,0.39293800157737246,0.23210187797133097,0.23741808593311206,0.08351555619813045,0.05402647832005401
